ID,Tolid,Tool,True Positives (TP),False Positives (FP),False Negatives (FN),True Negatives (TN),Precision,Recall,Accuracy,F1-score,Reference TP,Reference TN,Non classified,Reference chromosome scaffolds,Chromosome scaffolds classified
RC-2826,xbHipHipp7,sourmash_db_filter_topN_3,136,98,73,9970,0.5811965811965812,0.6507177033492823,0.9833609029872531,0.6139954853273137,209,10068,101,44,41
RC-2826,xbHipHipp7,sourmash_db_filter_topN_10,137,116,72,9952,0.541501976284585,0.6555023923444976,0.9817067237520677,0.593073593073593,209,10068,101,44,41
RC-2826,xbHipHipp7,sourmash_db_filter_topN_50,138,334,71,9734,0.2923728813559322,0.6602870813397129,0.960591612338231,0.4052863436123348,209,10068,101,44,41
RC-2826,xbHipHipp7,sourmash_db_filter_topN_100,140,647,69,9421,0.17789072426937738,0.6698564593301436,0.9303298628004282,0.28112449799196787,209,10068,101,44,41
RC-2826,xbHipHipp7,sourmash_db_filter_containment_0%,148,1597,61,8471,0.08481375358166189,0.7081339712918661,0.8386688722389802,0.15148413510747186,209,10068,101,44,42
RC-2826,xbHipHipp7,sourmash_db_filter_containment_1%,148,1597,61,8471,0.08481375358166189,0.7081339712918661,0.8386688722389802,0.15148413510747186,209,10068,101,44,42
RC-2826,xbHipHipp7,sourmash_db_filter_containment_10%,70,77,139,9991,0.47619047619047616,0.3349282296650718,0.9789821932470565,0.39325842696629215,209,10068,101,44,18
RC-2826,xbHipHipp7,sourmash_db_filter_containment_20%,17,23,192,10045,0.425,0.08133971291866028,0.9790794979079498,0.1365461847389558,209,10068,101,44,2
RC-2826,xbHipHipp7,sourmash_db_filter_kmers_2,120,637,89,9431,0.15852047556142668,0.5741626794258373,0.9293568161914956,0.24844720496894407,209,10068,101,44,40
RC-2826,xbHipHipp7,sourmash_db_filter_kmers_10,93,40,116,10028,0.6992481203007519,0.4449760765550239,0.9848204729006519,0.543859649122807,209,10068,101,44,39
RC-2826,xbHipHipp7,sourmash_db_filter_kmers_50,40,4,169,10064,0.9090909090909091,0.19138755980861244,0.9831662936654666,0.31620553359683795,209,10068,101,44,30
RC-2826,xbHipHipp7,sourmash_db_filter_kmers_100,36,3,173,10065,0.9230769230769231,0.1722488038277512,0.9828743796827868,0.2903225806451613,209,10068,101,44,29
RC-2962,iyAndClar1,fcs,1275,21,0,15,0.9837962962962963,1.0,0.9839816933638444,0.9918319719953326,1275,36,-,23,23
RC-2962,iyAndClar1,tiara,1275,36,0,0,0.9725400457665904,1.0,0.9725400457665904,0.9860788863109048,1275,36,-,23,23
RC-2962,iyAndClar1,fcs+tiara,1275,21,0,15,0.9837962962962963,1.0,0.9839816933638444,0.9918319719953326,1275,36,-,23,23
RC-2962,iyAndClar1,sourmash_without_filters,1259,35,16,1,0.972952086553323,0.9874509803921568,0.9610983981693364,0.9801479174776179,1275,36,691,23,23
